epoch,accuracy,loss,val_accuracy,val_loss
0,0.5393000245094299,0.7297346591949463,0.5756000280380249,0.6700176000595093
1,0.6219000220298767,0.6402764916419983,0.6340000033378601,0.6595296263694763
2,0.6700000166893005,0.6033181548118591,0.7300000190734863,0.5414090752601624
3,0.7081000208854675,0.5655214786529541,0.7473999857902527,0.5282335877418518
4,0.74795001745224,0.5175217986106873,0.7613999843597412,0.4861134886741638
5,0.7773500084877014,0.4729868173599243,0.7965999841690063,0.45100873708724976
6,0.7949000000953674,0.43980103731155396,0.8274000287055969,0.3961394131183624
7,0.815750002861023,0.40968286991119385,0.8095999956130981,0.41518375277519226
8,0.8289999961853027,0.3793126940727234,0.8416000008583069,0.36034685373306274
9,0.845550000667572,0.3551623225212097,0.8604000210762024,0.32874616980552673
10,0.8537999987602234,0.33286070823669434,0.8312000036239624,0.37605020403862
11,0.8650500178337097,0.31590643525123596,0.8632000088691711,0.3201224207878113
12,0.8704000115394592,0.2979714274406433,0.873199999332428,0.29713356494903564
13,0.8784499764442444,0.2839743494987488,0.876800000667572,0.2988327741622925
14,0.885699987411499,0.2717931270599365,0.8826000094413757,0.282319039106369
15,0.8916500210762024,0.260536253452301,0.8546000123023987,0.31690844893455505
16,0.8948500156402588,0.2494421899318695,0.8876000046730042,0.27364176511764526
17,0.8970999717712402,0.2437267303466797,0.8948000073432922,0.2733151912689209
18,0.9025999903678894,0.22763551771640778,0.8935999870300293,0.25509220361709595
19,0.9069499969482422,0.22426772117614746,0.8952000141143799,0.26827341318130493
20,0.9126499891281128,0.21081708371639252,0.8751999735832214,0.2889070510864258
21,0.9115999937057495,0.20983140170574188,0.8917999863624573,0.25641798973083496
22,0.916450023651123,0.19985061883926392,0.8862000107765198,0.26973170042037964
23,0.9195500016212463,0.19672353565692902,0.9007999897003174,0.2331787347793579
24,0.9235000014305115,0.18248994648456573,0.9056000113487244,0.23319880664348602
