epoch,accuracy,loss,val_accuracy,val_loss
0,0.5585500001907349,0.7764371037483215,0.6241987347602844,0.6724771857261658
1,0.6124500036239624,0.6442031860351562,0.6802884340286255,0.5831905007362366
2,0.660099983215332,0.6084092259407043,0.6264022588729858,0.5995753407478333
3,0.6901000142097473,0.5735064744949341,0.7502003312110901,0.5097965598106384
4,0.7196999788284302,0.5391966700553894,0.7291666865348816,0.5139145255088806
5,0.7538999915122986,0.5043440461158752,0.8044871687889099,0.45940932631492615
6,0.7861999869346619,0.45868319272994995,0.5949519276618958,0.7312859892845154
7,0.7986500263214111,0.42994409799575806,0.8237179517745972,0.41013258695602417
8,0.8209999799728394,0.39990389347076416,0.7630208134651184,0.48089179396629333
9,0.8351500034332275,0.3728528916835785,0.8020833134651184,0.406384140253067
10,0.8428000211715698,0.3474985957145691,0.8106971383094788,0.40501266717910767
11,0.8612499833106995,0.32227978110313416,0.8181089758872986,0.3879421353340149
12,0.8610000014305115,0.31149232387542725,0.8601762652397156,0.3215317726135254
13,0.8726999759674072,0.29138046503067017,0.8978365659713745,0.2875237762928009
14,0.8809499740600586,0.2767189145088196,0.8175080418586731,0.3876695930957794
15,0.8907999992370605,0.25676119327545166,0.8776041865348816,0.2882387936115265
16,0.8930500149726868,0.2527811825275421,0.8445512652397156,0.3440760672092438
17,0.8986999988555908,0.2418537586927414,0.9154647588729858,0.24326816201210022
18,0.9049999713897705,0.22795727849006653,0.9082531929016113,0.23737220466136932
19,0.9071499705314636,0.21888388693332672,0.8978365659713745,0.23854434490203857
20,0.913349986076355,0.21253187954425812,0.9166666865348816,0.2342083752155304
21,0.9125499725341797,0.20381967723369598,0.8816105723381042,0.2603614330291748
22,0.9207000136375427,0.18981027603149414,0.870192289352417,0.2862045466899872
23,0.920799970626831,0.18281161785125732,0.9210737347602844,0.2127455621957779
24,0.9261000156402588,0.17704083025455475,0.9292868375778198,0.1845581829547882
25,0.9283999800682068,0.17240719497203827,0.924879789352417,0.19875989854335785
26,0.9319000244140625,0.16274113953113556,0.8693910241127014,0.3006646931171417
27,0.933650016784668,0.160075843334198,0.9200721383094788,0.21416854858398438
28,0.9337999820709229,0.15471000969409943,0.9334936141967773,0.1852705478668213
29,0.9382500052452087,0.14704060554504395,0.9268830418586731,0.1888759434223175
