epoch,accuracy,loss,val_accuracy,val_loss
0,0.6424000263214111,0.6552013754844666,0.7269631624221802,0.5550004243850708
1,0.7218000292778015,0.542465329170227,0.7245593070983887,0.5377796292304993
2,0.7687000036239624,0.4818776249885559,0.7710336446762085,0.471890389919281
3,0.7908999919891357,0.4419846534729004,0.7544070482254028,0.48136016726493835
4,0.8144999742507935,0.40392759442329407,0.7994791865348816,0.4203922152519226
5,0.8346499800682068,0.3662639260292053,0.7950721383094788,0.44643422961235046
6,0.8553500175476074,0.33112800121307373,0.7399839758872986,0.569970428943634
7,0.8674499988555908,0.3024018704891205,0.8022836446762085,0.4554135203361511
8,0.8863499760627747,0.265166699886322,0.7389823794364929,0.5988582968711853
9,0.9040499925613403,0.2299330085515976,0.8084936141967773,0.427416056394577
10,0.9195500016212463,0.19398358464241028,0.8241186141967773,0.4175713360309601
11,0.933650016784668,0.16629929840564728,0.8291265964508057,0.4565177261829376
12,0.9470499753952026,0.13416987657546997,0.8129006624221802,0.5288930535316467
13,0.9609500169754028,0.10635554045438766,0.8179086446762085,0.5737231373786926
14,0.9672999978065491,0.08348887413740158,0.8221153616905212,0.5259959101676941
